Language Accuracy: 0.9788630694499146
NE Accuracy: 0.9688109161793372
Token	Gold Standard	Tagged Language	Named Entity	Evaluation
for	Eng	Eng	O	Correct
tourists	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
te	Spn	Spn	O	Correct
lo	Spn	Spn	O	Correct
prometo	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
–	Punct	Punct	O	NA
Que	Spn	Spn	O	Correct
no	Spn	Spn	O	Correct
!	Punct	Punct	O	NA
Que	Spn	Spn	O	Correct
nos	Spn	Spn	O	Correct
quieren	Spn	Spn	O	Correct
cobrar	Spn	Spn	O	Correct
90	Num	Num	O	NA
pesos	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
joder	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
All	Eng	Eng	O	Correct
of	Eng	Eng	O	Correct
us	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
like	Eng	Eng	O	Correct
five	Eng	Eng	O/MISC	Correct
Sleeping	Eng	Eng	O/MISC	Correct
Beauties	Eng	Eng	O/MISC	Correct
jerked	Eng	Eng	O/MISC	Correct
awake	Eng	Eng	O	Correct
by	Eng	Eng	O	Correct
the	Eng	Eng	O	Correct
kiss	Eng	Eng	O	Correct
(	Punct	Punct	O	NA
of	Eng	Eng	O	Correct
death	Eng	Eng	O	Correct
!	Punct	Punct	O	NA
)	Punct	Punct	O	NA
de	Spn	Spn	O	Correct
esa	Spn	Spn	O	Correct
cuenta	Spn	Spn	O	Correct
trucha	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
began	Eng	Eng	O	Correct
to	Eng	Eng	O	Correct
shriek	Eng	Eng	O	Correct
.	Punct	Punct	O	NA
No	Eng	Spn	O	Incorrect
way	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
oh	Eng	Eng	O	Correct
my	Eng	Eng	O	Correct
god	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
there	Eng	Eng	O	Correct
was	Eng	Eng	O	Correct
no	Eng	Spn	O	Incorrect
price	Eng	Eng	O	Correct
list	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
where’d	Eng	Eng	O	Correct
they	Eng	Eng	O	Correct
get	Eng	Eng	O	Correct
$90	Num	Punct	O	NA
?	Punct	Punct	O	NA
And	Eng	Eng	O	Correct
so	Eng	Eng	O	Correct
on	Eng	Eng	O	Correct
.	Punct	Punct	O	NA
Bahram	NamedEnt	Eng	PERSON/PERSON	Correct
began	Eng	Eng	O	Correct
to	Eng	Eng	O	Correct
gesticulate	Eng	Eng	O	Correct
and	Eng	Eng	O	Correct
armar	Spn	Spn	O	Correct
frases	Spn	Spn	O	Correct
litigiosas	Spn	Spn	O	Correct
y	Spn	Spn	O	Correct
levemente	Spn	Spn	O	Correct
amenazantes	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
I	Eng	Eng	O	Correct
felt	Eng	Eng	O	Correct
better	Eng	Eng	O	Correct
.	Punct	Punct	O	NA
Como	Spn	Spn	O	Correct
protegida	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
Pero	Spn	Spn	O	Correct
around	Eng	Eng	O	Correct
us	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
la	Spn	Spn	O	Correct
gente	Spn	Spn	O	Correct
comenzó	Spn	Spn	O	Correct
a	Spn	Spn	O	Correct
mirarnos	Spn	Spn	O	Correct
medio	Spn	Spn	O	Correct
feo	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
Ni	Spn	Spn	O	Correct
siquiera	Spn	Spn	O	Correct
nos	Spn	Spn	O	Correct
habíamos	Spn	Spn	O	Correct
dado	Spn	Spn	O	Correct
cuenta	Spn	Spn	O	Correct
de	Spn	Spn	O	Correct
que	Spn	Spn	O	Correct
entre	Spn	Spn	O	Correct
todo	Spn	Spn	O	Correct
el	Spn	Spn	O	Correct
revolú	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
there	Eng	Eng	O	Correct
had	Eng	Eng	O	Correct
been	Eng	Eng	O	Correct
a	Eng	Eng	O	Correct
change	Eng	Eng	O	Correct
of	Eng	Eng	O	Correct
performers	Eng	Eng	O	Correct
:	Punct	Punct	O	NA
ahora	Spn	Spn	O	Correct
cantaba	Spn	Spn	O	Correct
un	Spn	Spn	O	Correct
viejo	Spn	Spn	O	Correct
alto	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
espigado	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
de	Spn	Spn	O	Correct
elegantes	Spn	Spn	O	Correct
cabeshos	Spn	Spn	O	Correct
blancos	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
At	Eng	Eng	O	Correct
least	Eng	Eng	O	Correct
helooksthe	EngNoSpace	Eng	O	NA
part	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
pensé	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
But	Eng	Eng	O/ORGANIZATION	Correct
I	Eng	Eng	O/ORGANIZATION	Correct
was	Eng	Eng	O	Correct
already	Eng	Eng	O	Correct
up	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
squeezing	Eng	Eng	O	Correct
entre	Spn	Spn	O	Correct
el	Spn	Spn	O	Correct
bench	Eng	Eng	O	Correct
y	Spn	Spn	O	Correct
la	Spn	Spn	O	Correct
pared	Spn	Eng	O	Incorrect
,	Punct	Punct	O	NA
shoving	Eng	Eng	O	Correct
aside	Eng	Eng	O	Correct
shoulders	Eng	Eng	O	Correct
and	Eng	Eng	O	Correct
knees	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
followed	Eng	Eng	O	Correct
by	Eng	Eng	O	Correct
the	Eng	Eng	O	Correct
Juvenile	NamedEnt	Eng	O/PERSON	Correct
and	Eng	Eng	O/PERSON	Correct
Pierre	NamedEnt	Spn	PERSON/PERSON	Correct
.	Punct	Punct	O	NA
As	Eng	Eng	O	Correct
we	Eng	Eng	O	Correct
passed	Eng	Eng	O	Correct
el	Spn	Spn	O	Correct
cantante	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
I	Eng	Eng	O/MISC	Correct
heard	Eng	Eng	O/MISC	Correct
,	Punct	Punct	O	NA
como	Spn	Spn	O	Correct
desde	Spn	Spn	O	Correct
un	Spn	Spn	O	Correct
slo-mo	Eng	Spn	O	Incorrect
sueño	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
que	Spn	Spn	O	Correct
éste	Spn	Spn	O	Correct
componía	Spn	Spn	O	Correct
y	Spn	Spn	O	Correct
cantaba	Spn	Spn	O	Correct
en	Spn	Spn	O	Correct
el	Spn	Spn	O	Correct
acto	Spn	Spn	O	Correct
letras	Spn	Spn	O	Correct
tangueras	Spn	Spn	O	Correct
about	Eng	Eng	O	Correct
us	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
about	Eng	Eng	O	Correct
rude	Eng	Eng	O	Correct
ehtranjeros	NonStSpn	Spn	O	NA
who	Eng	Eng	O	Correct
left	Eng	Eng	O	Correct
half-way	Eng	Eng	O	Correct
through	Eng	Eng	O	Correct
el	Spn	Spn	O	Correct
show	Eng	Eng	O	Correct
!	Punct	Punct	O	NA
Esto	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
pensé	Spn	Spn	O	Correct
—	Punct	Punct	O	NA
ever	Eng	Eng	O	Correct
daddy’s	Eng	Eng	O	Correct
girl	Eng	Eng	O	Correct
—	Punct	Punct	O	NA
es	Spn	Spn	O	Correct
la	Spn	Spn	O	Correct
tradición	Spn	Spn	O	Correct
oral	Spn	Eng	O	Incorrect
en	Spn	Spn	O	Correct
Bahram	NamedEnt	Eng	PERSON/LOCATION	Correct
,	Punct	Punct	O	NA
en	Spn	Spn	O	Correct
su	Spn	Spn	O	Correct
conversación	Spn	Spn	O	Correct
con	Spn	Spn	O	Correct
la	Spn	Spn	O	Correct
tango	Spn	Spn	O	Correct
mistress	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
had	Eng	Eng	O	Correct
learned	Eng	Eng	O	Correct
que	Spn	Spn	O	Correct
en	Spn	Spn	O	Correct
efecto	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
no	Spn	Spn	O	Correct
“	Punct	Punct	O	NA
era	Spn	Spn	O	Correct
normal	Spn	Eng	O	Incorrect
"	Punct	Punct	O	NA
que	Spn	Spn	O	Correct
nos	Spn	Spn	O	Correct
cobraran	Spn	Spn	O	Correct
los	Spn	Spn	O	Correct
$90	Num	Punct	O	NA
,	Punct	Punct	O	NA
since	Eng	Eng	O	Correct
we’d	Eng	Eng	O	Correct
paid	Eng	Eng	O	Correct
$40	Num	Punct	O	NA
for	Eng	Eng	O	Correct
the	Eng	Eng	O	Correct
dinner	Eng	Eng	O	Correct
.	Punct	Punct	O	NA
Pablo	NamedEnt	Spn	PERSON/PERSON	Correct
,	Punct	Punct	O	NA
alentado	Spn	Spn	O	Correct
con	Spn	Spn	O	Correct
esta	Spn	Spn	O	Correct
información	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
insistía	Spn	Spn	O	Correct
con	Spn	Spn	O	Correct
el	Spn	Spn	O	Correct
mozo	Spn	Spn	O	Correct
:	Punct	Punct	O	NA
—	Punct	Punct	O	NA
que	Spn	Spn	O	Correct
no	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
y	Spn	Spn	O	Correct
punto	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
Esto	Spn	Spn	O	Correct
no	Spn	Spn	O	Correct
es	Spn	Spn	O	Correct
normal	Spn	Eng	O	Incorrect
,	Punct	Punct	O	NA
coño	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
Ya	Spn	Spn	O	Correct
pagamos	Spn	Spn	O	Correct
la	Spn	Spn	O	Correct
consumición	Spn	Spn	O	Correct
y	Spn	Spn	O	Correct
novamos	Spn	Spn	O	Correct
a	Spn	Spn	O	Correct
pagar	Spn	Spn	O	Correct
el	Spn	Spn	O	Correct
show	Eng	Eng	O	Correct
.	Punct	Punct	O	NA
Ve	Spn	Eng	O	Incorrect
y	Spn	Spn	O	Correct
pregúntaselo	Spn	Spn	O	Correct
a	Spn	Spn	O	Correct
El	NamedEnt	Spn	O/LOCATION	Correct
Chino	NamedEnt	Spn	O/LOCATION	Correct
si	Spn	Spn	O	Correct
quieres	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
Eso	Spn	Spn	O	Correct
es	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
pregúntaselo	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
anda	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
El	Spn	Spn	O	Correct
mozo	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
tras	Spn	Spn	O	Correct
consultar	Spn	Spn	O	Correct
sotto	Ital	Spn	O	NA
vocecon	MixedNoSpace	Spn	O	NA
el	Spn	Spn	O	Correct
dueño	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
retornó	Spn	Spn	O	Correct
medio	Spn	Spn	O	Correct
crestfallen	Eng	Spn	O	Incorrect
,	Punct	Punct	O	NA
shaking	Eng	Eng	O	Correct
his	Eng	Eng	O	Correct
jet-black	Eng	Eng	O	Correct
bucles	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
with	Eng	Eng	O	Correct
the	Eng	Eng	O	Correct
Chino-certified	Eng	Eng	O/MISC	Correct
price	Eng	Eng	O	Correct
:	Punct	Punct	O	NA
$40	Num	Punct	O	NA
.	Punct	Punct	O	NA
Triunfantes	Eng	Spn	O	Incorrect
,	Punct	Punct	O	NA
ignoring	Eng	Eng	O	Correct
the	Eng	Eng	O	Correct
dirty	Eng	Eng	O	Correct
looks	Eng	Eng	O	Correct
de	Spn	Spn	O	Correct
demás	Spn	Spn	O	Correct
comensales	Spn	Spn	O	Correct
and	Eng	Eng	O	Correct
the	Eng	Eng	O	Correct
now	Eng	Eng	O	Correct
frankly	Eng	Eng	O	Correct
hostile	Eng	Eng	O	Correct
spontaneous	Eng	Eng	O	Correct
riffs	Eng	Eng	O	Correct
about	Eng	Eng	O	Correct
our	Eng	Eng	O	Correct
premature	Eng	Eng	O	Correct
exit	Eng	Eng	O	Correct
del	Spn	Spn	O	Correct
abueleril	NonStSpn	Spn	O	NA
cantante	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
we	Eng	Eng	O	Correct
were	Eng	Eng	O	Correct
spewed	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
Jonah-like	Eng	Eng	O	Correct
onto	Eng	Eng	O	Correct
la	Spn	Spn	O	Correct
vereda	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
As	Eng	Eng	O	Correct
we	Eng	Eng	O	Correct
waited	Eng	Eng	O	Correct
for	Eng	Eng	O	Correct
“	Punct	Punct	O	NA
Onda	Spn	Spn	O/ORGANIZATION	Correct
Verde	Spn	Spn	O/ORGANIZATION	Correct
,	Punct	Punct	O	NA
"	Punct	Punct	O	NA
observamos	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
incrédulos	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
the	Eng	Eng	O	Correct
hordes	Eng	Spn	O	Incorrect
of	Eng	Eng	O	Correct
hopefuls	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
huddled	Eng	Eng	O	Correct
about	Eng	Eng	O	Correct
las	Spn	Spn	O	Correct
dos	Spn	Spn	O	Correct
ventanas	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
who	Eng	Eng	O	Correct
hadn’t	Eng	Eng	O	Correct
managed	Eng	Eng	O	Correct
to	Eng	Eng	O	Correct
get	Eng	Eng	O	Correct
a	Eng	Eng	O	Correct
seat	Eng	Eng	O	Correct
in	Eng	Eng	O	Correct
“	Punct	Punct	O	NA
Bar	Eng	Spn	O/MISC	Incorrect
El	NamedEnt	Spn	O/MISC	Correct
Chino	NamedEnt	Spn	O/MISC	Correct
.	Punct	Punct	O	NA
"	Punct	Punct	O	NA
P.S.	Eng	Spn	O	Incorrect
Dos	Spn	Spn	O	Correct
semanas	Spn	Spn	O	Correct
después	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
after	Eng	Eng	O	Correct
Pablo	NamedEnt	Spn	PERSON/PERSON	Correct
and	Eng	Eng	O/PERSON	Correct
Bahram	NamedEnt	Eng	PERSON/PERSON	Correct
had	Eng	Eng	O	Correct
departed	Eng	Eng	O	Correct
to	Eng	Eng	O	Correct
their	Eng	Eng	O	Correct
respective	Eng	Eng	O	Correct
“	Punct	Punct	O	NA
patrias	Spn	Spn	O	Correct
"	Punct	Punct	O	NA
(	Punct	Punct	O	NA
Pablo	NamedEnt	Spn	O/PERSON	Correct
a	Spn	Spn	O	Correct
su	Spn	Spn	O	Correct
cátedra	Spn	Spn	O	Correct
in	Eng	Eng	O	Correct
an	Eng	Eng	O	Correct
Andalusian	Eng	Eng	O/MISC	Correct
university	Eng	Eng	O/MISC	Correct
and	Eng	Eng	O/MISC	Correct
Bahram	NamedEnt	Eng	PERSON/MISC	Correct
to	Eng	Eng	O/MISC	Correct
an	Eng	Eng	O/MISC	Correct
important	Eng	Eng	O/MISC	Correct
northernCalifornia	EngNoSpace	Eng	O/MISC	NA
law	Eng	Eng	O	Correct
firm	Eng	Eng	O	Correct
)	Punct	Punct	O	NA
,	Punct	Punct	O	NA
apareció	Spn	Spn	O	Correct
yet	Eng	Eng	O	Correct
another	Eng	Eng	O	Correct
article	Eng	Eng	O	Correct
on	Eng	Eng	O	Correct
tango	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
this	Eng	Eng	O	Correct
time	Eng	Eng	O	Correct
in	Eng	Eng	O	Correct
the	Eng	Eng	O	Correct
Sunday	Eng	Eng	O/MISC	Correct
revista	Spn	Spn	O	Correct
of	Eng	Eng	O	Correct
the	Eng	Eng	O	Correct
local	Eng	Eng	O	Correct
diario	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
Clarín	Spn	Spn	PERSON/MISC	Correct
.	Punct	Punct	O	NA
“	Punct	Punct	O	NA
Un	Spn	Spn	O	Correct
boom	Eng	Eng	O	Correct
que	Spn	Spn	O	Correct
llega	Spn	Spn	O	Correct
a	Spn	Spn	O	Correct
todo	Spn	Spn	O	Correct
el	Spn	Spn	O	Correct
mundo	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
"	Punct	Punct	O	NA
heralded	Eng	Eng	O	Correct
the	Eng	Eng	O	Correct
article	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
titled	Eng	Eng	O	Correct
“	Punct	Punct	O	NA
Fenómeno	Spn	Spn	O/MISC	Correct
Tango	Spn	Spn	O/MISC	Correct
.	Punct	Punct	O	NA
"	Punct	Punct	O	NA
In	Eng	Eng	O	Correct
a	Eng	Eng	O	Correct
lengthy	Eng	Eng	O	Correct
sidebar	Eng	Eng	O	Correct
about	Eng	Eng	O	Correct
“	Punct	Punct	O	NA
El	NamedEnt	Spn	O/MISC	Correct
Chino	NamedEnt	Spn	O/MISC	Correct
"	Punct	Punct	O	NA
(	Punct	Punct	O	NA
described	Eng	Eng	O	Correct
as	Eng	Eng	O	Correct
“	Punct	Punct	O	NA
un	Spn	Spn	O	Correct
bar	Eng	Spn	O	Incorrect
maravillosamente	Spn	Spn	O	Correct
descascarado	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
barroco	Spn	Spn	O	Correct
y	Spn	Spn	O	Correct
hechicero	Spn	Spn	O	Correct
"	Punct	Punct	O	NA
)	Punct	Punct	O	NA
,	Punct	Punct	O	NA
la	Spn	Spn	O	Correct
rubia	Spn	Spn	O	Correct
destartalada	Spn	Spn	O	Correct
aquella	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
named	Eng	Eng	O/MISC	Correct
Cristina	NamedEnt	Spn	PERSON/MISC	Correct
de	Spn	Spn	PERSON/MISC	Correct
los	NamedEnt	Spn	PERSON/MISC	Correct
Angeles	NamedEnt	Spn	PERSON/MISC	Correct
,	Punct	Punct	O	NA
announces	Eng	Eng	O	Correct
triumphantly	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
“	Punct	Punct	O	NA
Hoy	Spn	Spn	O	Correct
tenemos	Spn	Spn	O	Correct
gente	Spn	Spn	O	Correct
de	Spn	Spn	O	Correct
Irán	NamedEnt	Spn	O/ORGANIZATION	Correct
,	Punct	Punct	O	NA
Suecia	NamedEnt	Spn	LOCATION/ORGANIZATION	Correct
,	Punct	Punct	O	NA
el	Spn	Spn	O	Correct
Japón	NamedEnt	Spn	LOCATION/LOCATION	Correct
,	Punct	Punct	O	NA
Francia	NamedEnt	Spn	LOCATION/LOCATION	Correct
,	Punct	Punct	O	NA
y	Spn	Spn	O	Correct
España	NamedEnt	Spn	O/LOCATION	Correct
.	Punct	Punct	O	NA
"	Punct	Punct	O	NA
Pablo	NamedEnt	Spn	PERSON/PERSON	Correct
,	Punct	Punct	O	NA
this	Eng	Eng	O	Correct
one	Eng	Eng	O	Correct
is	Eng	Eng	O	Correct
para	Spn	Spn	O	Correct
vos	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
IV	Num	Eng	O	NA
Blood/Relations	Eng	Eng	O	Correct
Crónica	Spn	Spn	O	Correct
28	Num	Num	O	NA
junio	Spn	Spn	O	Correct
2001	Num	Num	O	NA
Buenos	NamedEnt	Spn	LOCATION/LOCATION	Correct
Aires	NamedEnt	Spn	LOCATION/LOCATION	Correct
Para	Spn	Spn	LOCATION/LOCATION	Correct
Etienne	NamedEnt	Spn	LOCATION/PERSON	Correct
Joseph	NamedEnt	Eng	LOCATION/PERSON	Correct
y	Spn	Spn	O	Correct
para	Spn	Spn	O	Correct
Jorge	NamedEnt	Spn	PERSON/PERSON	Correct
Mariscal	NamedEnt	Spn	PERSON/PERSON	Correct
Writing	Eng	Eng	O/PERSON	Correct
away	Eng	Eng	O	Correct
estaba	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
en	Spn	Spn	O	Correct
una	Spn	Spn	O	Correct
tale	Eng	Eng	O	Correct
of	Eng	Eng	O	Correct
3	Num	Num	O	NA
sisters	Eng	Eng	O	Correct
.	Punct	Punct	O	NA
Concentration	Eng	Eng	O	Correct
broken	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
interrumpida	Spn	Spn	O	Correct
por	Spn	Spn	O	Correct
el	Spn	Spn	O	Correct
ring	Eng	Eng	O	Correct
ring	Eng	Eng	O	Correct
y	Spn	Spn	O	Correct
no	Spn	Spn	O	Correct
suelo	Spn	Spn	O	Correct
contehtar	NonStSpn	Spn	O	NA
siempre	Spn	Spn	O	Correct
dejo	Spn	Spn	O	Correct
la	Spn	Spn	O	Correct
máquina	Spn	Spn	O	Correct
pero	Spn	Spn	O	Correct
something	Eng	Eng	O	Correct
caught	Eng	Eng	O	Correct
me	Eng	Spn	O	Incorrect
y	Spn	Spn	O	Correct
atendí	Spn	Spn	O	Correct
y	Spn	Spn	O	Correct
era	Spn	Spn	O	Correct
Betty	NamedEnt	Eng	PERSON/PERSON	Correct
Galant	Eng	Eng	PERSON/PERSON	Correct
,	Punct	Punct	O	NA
RECTORA	Spn	Spn	O	Correct
del	Spn	Spn	O	Correct
colegio	Spn	Spn	O	Correct
del	Spn	Spn	O	Correct
Juvenil	Spn	Spn	PERSON/ORGANIZATION	Correct
,	Punct	Punct	O	NA
and	Eng	Eng	O	Correct
it	Eng	Eng	O	Correct
all	Eng	Eng	O	Correct
was	Eng	Eng	O	Correct
so	Eng	Eng	O	Correct
fast	Eng	Eng	O	Correct
so	Eng	Eng	O	Correct
fast	Eng	Eng	O	Correct
y	Spn	Spn	O	Correct
yo	Spn	Spn	O	Correct
que	Spn	Spn	O	Correct
sólo	Spn	Spn	O	Correct
ayer	Spn	Spn	O	Correct
me	Spn	Spn	O	Correct
estuve	Spn	Spn	O	Correct
medio	Spn	Spn	O	Correct
casi	Spn	Spn	O	Correct
congratulating	Eng	Eng	O	Correct
on	Eng	Eng	O	Correct
my	Eng	Eng	O	Correct
charming	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
sentient	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
politically	Eng	Eng	O	Correct
aware	Eng	Eng	O	Correct
boy	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
my	Eng	Eng	O	Correct
boitjie	Afrk	Eng	O	NA
,	Punct	Punct	O	NA
adolescente	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
.	Punct	Punct	O	NA
.	Punct	Punct	O	NA
.	Punct	Punct	O	NA
.	Punct	Punct	O	NA
.	Punct	Punct	O	NA
y	Spn	Spn	O	Correct
Betty	NamedEnt	Eng	PERSON/PERSON	Correct
Galant	Eng	Eng	PERSON/PERSON	Correct
diciendo	Spn	Spn	O	Correct
está	Spn	Spn	O	Correct
bien	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
Joey	NamedEnt	Eng	PERSON/PERSON	Correct
está	Spn	Spn	O	Correct
bien	Spn	Spn	O	Correct
pero	Spn	Spn	O	Correct
...	Punct	Punct	O	NA
ehte	NonStSpn	Spn	O	NA
,	Punct	Punct	O	NA
cometió	Spn	Spn	O	Correct
un	Spn	Spn	O	Correct
“	Punct	Punct	O	NA
acto	Spn	Spn	O	Correct
irreflexivo	Spn	Spn	O	Correct
"	Punct	Punct	O	NA
(	Punct	Punct	O	NA
so	Eng	Eng	O	Correct
Argentine	Eng	Eng	O/LOCATION	Correct
,	Punct	Punct	O	NA
esto	Spn	Spn	O	Correct
!	Punct	Punct	O	NA
)	Punct	Punct	O	NA
y	Spn	Spn	O	Correct
quisiera	Spn	Spn	O	Correct
que	Spn	Spn	O	Correct
vengas	Spn	Spn	O	Correct
a	Spn	Spn	O	Correct
recogerlo	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
llevarlo	Spn	Spn	O	Correct
a	Spn	Spn	O	Correct
casa	Spn	Spn	O	Correct
y	Spn	Spn	O	Correct
para	Spn	Spn	O	Correct
que	Spn	Spn	O	Correct
reflexione	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
Se	Spn	Spn	O	Correct
cortó	Spn	Spn	O	Correct
la	Spn	Spn	O	Correct
mano	Spn	Spn	O	Correct
un	Spn	Spn	O	Correct
poco	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
eso	Spn	Spn	O	Correct
es	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
Y	Spn	Spn	O	Correct
yo	Spn	Spn	O	Correct
en	Spn	Spn	O	Correct
piyama	Spn	Spn	O	Correct
furious	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
me	Spn	Spn	O	Correct
SACA	Eng	Spn	O	Incorrect
de	Spn	Spn	O	Correct
onda	Spn	Spn	O	Correct
que	Spn	Spn	O	Correct
